"kind","id","status","title","summary","locale","location_code","location_name","assignee","submitted_at","total_minor","currency"
"request","6025318a-2048-4038-8eda-1a41a177dfd2","submitted","Bulk export ac012bfc-06f7-413d-856d-f43826c60111 2","Bulk details 2","en","guest_room","Guest room","","2026-08-08T08:21:50.438Z","",""
"request","0da51060-7366-4d75-918e-fba22dddc10a","submitted","Bulk export ac012bfc-06f7-413d-856d-f43826c60111 1","Bulk details 1","en","guest_room","Guest room","","2026-08-08T08:20:50.438Z","",""
"request","162ff1a3-adc2-4cbc-aa2a-86e77bedf795","submitted","Bulk export ac012bfc-06f7-413d-856d-f43826c60111 0","Bulk details 0","en","guest_room","Guest room","","2026-08-08T08:19:50.438Z","",""
"request","c3fc7748-a3a7-42e0-8d59-6808fb8929ff","submitted","Bulk export 8400549c-3ef9-462e-8c8e-8a30ff3c52ae 2","Bulk details 2","en","guest_room","Guest room","","2026-08-08T08:09:18.204Z","",""
"request","80bc3fd0-fe47-4158-a0c4-1b806f1cfa51","submitted","Bulk export 8400549c-3ef9-462e-8c8e-8a30ff3c52ae 1","Bulk details 1","en","guest_room","Guest room","","2026-08-08T08:08:18.204Z","",""
"request","5529cc61-d217-42b2-b7ef-7ea49abe8c65","submitted","Bulk export 8400549c-3ef9-462e-8c8e-8a30ff3c52ae 0","Bulk details 0","en","guest_room","Guest room","","2026-08-08T08:07:18.204Z","",""
"request","c0987467-3d59-400e-b246-b4a940b0b310","submitted","Bulk export a6c3053c-3219-4b0e-ae69-5eb3cdd22b72 2","Bulk details 2","en","guest_room","Guest room","","2026-08-08T08:01:31.872Z","",""
"request","60bfc7f5-978d-468a-a087-fb3365d53288","submitted","Bulk export a6c3053c-3219-4b0e-ae69-5eb3cdd22b72 1","Bulk details 1","en","guest_room","Guest room","","2026-08-08T08:00:31.872Z","",""
"request","10d29f85-4d64-4b75-8612-6dd611b5bb1c","submitted","Bulk export a6c3053c-3219-4b0e-ae69-5eb3cdd22b72 0","Bulk details 0","en","guest_room","Guest room","","2026-08-08T07:59:31.872Z","",""
"request","d0f39015-0ed5-4f6d-8bf4-6169dbbfe5af","submitted","'=SUM(1,2) 84cfc354-8ed9-4487-802d-82a6cb0edc5b","'+export details 84cfc354-8ed9-4487-802d-82a6cb0edc5b","en","guest_room","Guest room","","2026-08-07T08:19:50.016Z","",""
"request","1c403447-56ef-45b8-9766-7946be99a8fb","submitted","'=SUM(1,2) b598145d-4160-4ba6-90e2-fb9612883187","'+export details b598145d-4160-4ba6-90e2-fb9612883187","en","guest_room","Guest room","","2026-08-07T08:07:17.976Z","",""
"request","8ab86073-1d7b-4e9c-aaa7-2b6072a7632a","submitted","'=SUM(1,2) c561f4d2-d9f6-4fdf-b431-eb26f30bcfba","'+export details c561f4d2-d9f6-4fdf-b431-eb26f30bcfba","en","guest_room","Guest room","","2026-08-07T07:59:31.630Z","",""
"request","46d8b43b-98c9-421d-aebb-383ed7752ad6","submitted","'=Export audit ms4dz9qp","'+CSV proof ms4dz9qp","en","lobby","Lobby","","2026-07-28T08:21:00.834Z","",""
"request","2ca47ae8-477d-42ca-bc2f-c807b5e0dd8f","submitted","Analytics towels 1785226858359","Please bring two towels.","en","lobby","Lobby","","2026-07-28T08:20:58.369Z","",""
"request","7d2c51d8-dec7-4277-b1aa-e6ec3a4801b2","submitted","Admin ops towels 1785226774707-5","Please bring two towels. Admin ops towels 1785226774707-5","en","lobby","Lobby","","2026-07-28T08:19:34.935Z","",""
